snout_front,fl_l_front,fl_r_front,snout_top,snout_bottom,fl_l,fl_r,hl_l,hl_r,tailbase_bottom,tailbase_top,day,mouse_id,group
inf,0.04290308206401875,0.08609625461546197,0.04595363699376339,0.17076541835081177,0.034058179670378094,0.09076159495440986,0.0430519772226998,0.052643818464253166,0.026292256428013316,0.007126309198253515,4,FW3_ai94,grp1
inf,0.0222049583459288,0.016989553001254157,inf,inf,0.0034839050300403433,0.03265218550688201,0.00727890549086141,0.09599150056369418,0.04219560657567619,0.019395458619054447,5,FW3_ai94,grp1
inf,0.12152622709724586,0.035908632211861566,0.07167766548923843,0.0668980074340076,0.14189798284544902,0.08775826879395514,0.010850592290843028,0.05827705491569187,0.009594858568109094,inf,6,FW3_ai94,grp1
0.08758196922040148,0.19453303176964745,0.0860181438871757,0.06213493752291835,0.12241194132058907,0.1961390526098596,0.13266566158884835,0.07490437016832414,0.1976113860864751,0.09696918738715335,0.05235659190458274,7,FW3_ai94,grp1
0.09395687610241255,0.42016633788435653,0.33215943804199183,0.11802412218299368,0.18734408830110338,0.42035438481394055,0.42728850707396154,0.3180829295677947,0.43024269801608506,0.2731482837940634,0.14587998965816124,8,FW3_ai94,grp1
0.025186346356845187,0.28954361331317274,0.3566803817806872,0.09747885233080156,inf,0.25248467991452206,0.45911739593894973,0.3212752821254346,0.49270158162293337,0.30457116614969915,0.162912731297187,9,FW3_ai94,grp1
inf,0.250701201593851,0.3764844083246416,0.05646565013727194,0.13900319709205275,0.2041840563535819,0.4214148118211152,0.39648902763842303,0.4937339566124879,0.19832610967289252,0.12153180957387882,10,FW3_ai94,grp1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,FW22_ai94,grp1
0.023545720808687734,0.038489509082720606,0.025919489079582667,0.018317840394844975,0.10741210057060838,0.05334798510356999,0.04885110317501365,0.08213452462311636,0.08722097229021034,0.06405044409703546,0.03591346701627861,2,FW22_ai94,grp1
0.034802736099550584,0.22219734091067325,0.29211087318428264,0.052090664790485464,0.034151786619671914,0.17346076126872423,0.2106866724785304,0.07436560356474242,0.057217346121254196,0.0413968246870575,0.023354271873214632,3,FW22_ai94,grp1
0.04070339836875944,0.07006557700995585,0.10028784122295276,0.03863359342194241,0.05302751064239154,inf,0.09656345183571452,0.059862950526528735,0.0173603715077571,0.021462104335315105,0.01932866923093225,4,FW22_ai94,grp1
0.12640801140995084,0.06298234810756875,0.12212612144828405,0.07334489497794311,0.121345598929055,0.03753430252495153,0.04547087885276687,0.07018470695623334,0.025369576189642824,0.011584926347767975,0.005711600188761161,5,FW22_ai94,grp1
0.3851618058579415,0.46192023270924776,0.6796747389801088,0.2830489694102095,0.31000077453344416,0.4202661582572755,0.5954651375540146,0.4579815618022205,0.5312497396872417,0.338778942086743,0.22966824632103794,6,FW22_ai94,grp1
0.2393282747140277,0.30999074744878685,0.4556314025633382,0.22143278426784035,0.21367181340344146,0.2422792484401703,0.3538566800722638,0.33357477917432876,0.27987128492442753,0.21105671731323133,0.09867799321793964,7,FW22_ai94,grp1
0.3408501527998879,0.6018878099421409,0.7122040174782414,0.1203952338197618,0.2115799671414392,0.5264618382080787,0.5667099660676316,0.35760438721389887,0.3673609789237022,0.2298597118562418,0.06882599024422581,8,FW22_ai94,grp1
0.36502794919374876,0.7226703518056198,0.8720830270139629,0.1732375758789445,0.3308261766996268,0.6438761419371671,0.7331579562278216,0.39383757747019355,0.2896369455231847,0.19612056381722923,0.06076961132993629,9,FW22_ai94,grp1
0.2780266100847656,0.7746971016904254,0.8518127292322935,0.19008041070174597,0.2643497526028569,0.6799036812059911,0.6515733500863371,0.35869388672825475,0.33912334413833656,0.22750644861954725,0.08754292696830293,10,FW22_ai94,grp1
